9.601779303398294552e-01,1.052226210383056415e+00,1.325588426373780049e+00,7.433024657089462028e-01,1.157614302046829691e+00
8.578084529458618324e-01,1.589445276186677969e+00,1.412800790178863952e+00,1.176566451165461658e+00,7.599488683314296056e-01
9.352935175719763183e-01,1.111016469229577641e+00,9.889043198117349887e-01,9.734354144860931646e-01,1.225755496782397147e+00
1.292096976500191730e+00,9.896470567154438402e-01,6.901810611856588062e-01,8.608500351616938939e-01,1.283874107228983874e+00
2.062973111270091309e+00,1.384125953796160990e+00,9.515487717864130612e-01,7.220120358165809105e-01,1.067277793538623065e+00
1.232480344118837889e+00,1.026668379603734804e+00,1.024921453830169193e+00,6.593250361766396228e-01,1.596460022636374099e+00
7.500330539025543697e-01,7.668712723594383052e-01,8.923242284593149165e-01,9.130310431845696240e-01,4.251084214555828078e-01
1.208910945151875582e+00,8.199350132458625984e-01,8.978968016949600006e-01,1.473688362889252090e+00,1.642232921728133066e+00
1.431818707184738804e+00,1.367074017689989596e+00,6.167259303852901109e-01,7.291950678386277529e-01,1.007572385610064680e+00
1.047005406541871908e+00,1.269942616348974207e+00,1.035246886212497053e+00,5.585681384906595603e-01,1.198232087509933042e+00
7.513650541276082340e-01,1.058594700369406283e+00,3.016471502657820380e-01,1.036139389984705783e+00,1.027135085141683835e+00
1.062166449753396913e+00,1.182109965300889076e+00,1.059434759902064815e+00,6.533754415660346648e-01,1.082174388681854227e+00
1.149742395294274688e+00,9.762378307486928586e-01,1.227778460383627035e+00,1.145949314049863110e+00,1.677979809134881428e+00
5.816901868088641958e-01,1.821010625230072399e+00,1.142148747158633793e+00,8.549896824423537378e-01,1.119577800842709747e+00
1.781816951717436037e+00,1.266070631209246677e+00,7.054645420622727148e-01,8.452190946695131712e-01,5.970019016930951938e-01
1.381477751779989216e+00,1.175503278069750968e+00,6.671757254356729394e-01,1.141109622093329889e+00,8.771247732700794275e-01
6.523371541878839608e-01,1.039138431039597021e+00,9.517229387898967774e-01,1.663020190680958965e+00,1.706876481767320985e+00
7.851047350900668409e-01,5.096566458147621104e-01,1.089086734511531152e+00,1.284466105070573239e+00,8.976477263695300524e-01
8.807435971463780655e-01,1.448738729236638711e+00,1.239148358836443808e+00,9.329138836893318132e-01,8.608063081223287227e-01
1.295020964822838350e+00,9.757023146212936426e-01,1.143369283613063780e+00,1.155249889192718760e+00,1.263641258710016313e+00
1.678258999609451241e+00,3.179897668256042031e-01,1.345951078797583467e+00,6.454497323144128273e-01,1.542269973255753879e+00
1.147892902079449939e+00,9.232186737227577877e-01,1.171251949325473163e+00,2.216246669916500656e-01,1.074628300495281463e+00
8.803933377720716269e-01,1.051231224284901788e+00,1.007117411211176705e+00,1.405304683255880649e+00,9.299713929899205977e-01
6.626078220393594176e-01,1.120465273501186854e+00,4.784125443506866970e-01,8.331565267829988963e-01,8.599348657145488017e-01
5.143530733447903014e-01,8.769226093985875714e-01,6.758578729919104688e-01,1.643806551533531390e+00,1.196172781221732206e+00
